"hgnc_symbol","Ensembl"
"FGR","ENSG00000000938"
"STPG1","ENSG00000001460"
"NIPAL3","ENSG00000001461"
"AK2","ENSG00000004455"
"KDM1A","ENSG00000004487"
"TTC22","ENSG00000006555"
"ST7L","ENSG00000007341"
"DNAJC11","ENSG00000007923"
"E2F2","ENSG00000007968"
"CDK11A","ENSG00000008128"
"NADK","ENSG00000008130"
"CSDE1","ENSG00000009307"
"MASP2","ENSG00000009724"
"SCMH1","ENSG00000010803"
"TCEB3","ENSG00000011007"
"LYPLA2","ENSG00000011009"
"CLCN6","ENSG00000011021"
"RUNX3","ENSG00000020633"
"GCLM","ENSG00000023909"
"DEPDC1","ENSG00000024526"
"KPNA6","ENSG00000025800"
"TNFRSF1B","ENSG00000028137"
"SARS","ENSG00000031698"
"ZZZ3","ENSG00000036549"
"FBXO42","ENSG00000037637"
"PQLC2","ENSG00000040487"
"THAP3","ENSG00000041988"
"TRIT1","ENSG00000043514"
"VPS13D","ENSG00000048707"
"COL9A2","ENSG00000049089"
"H6PD","ENSG00000049239"
"VAMP3","ENSG00000049245"
"PER3","ENSG00000049246"
"UTS2","ENSG00000049247"
"TNFRSF9","ENSG00000049249"
"AKR7A2","ENSG00000053371"
"MRTO4","ENSG00000053372"
"TRAPPC3","ENSG00000054116"
"THRAP3","ENSG00000054118"
"KIF1B","ENSG00000054523"
"SZRD1","ENSG00000055070"
"MCOLN3","ENSG00000055732"
"MSH4","ENSG00000057468"
"PITHD1","ENSG00000057757"
"CROCC","ENSG00000058453"
"YIPF1","ENSG00000058799"
"NDC1","ENSG00000058804"
"PIGV","ENSG00000060642"
"PTPRU","ENSG00000060656"
"SNRNP40","ENSG00000060688"
"DDX20","ENSG00000064703"
"CHI3L2","ENSG00000064886"
"GNAI3","ENSG00000065135"
"PKN2","ENSG00000065243"
"SPEN","ENSG00000065526"
"YBX1","ENSG00000065978"
"TIE1","ENSG00000066056"
"KDM4A","ENSG00000066135"
"NFYC","ENSG00000066136"
"ZMYND12","ENSG00000066185"
"ELOVL1","ENSG00000066322"
"LRRC40","ENSG00000066557"
"EVI5","ENSG00000067208"
"DNTTIP2","ENSG00000067334"
"PRKCZ","ENSG00000067606"
"KCNAB2","ENSG00000069424"
"TGFBR3","ENSG00000069702"
"HES2","ENSG00000069812"
"TESK2","ENSG00000070759"
"EIF2B3","ENSG00000070785"
"CDC42","ENSG00000070831"
"ENO1","ENSG00000074800"
"ARHGEF10L","ENSG00000074964"
"EIF4G3","ENSG00000075151"
"RAP1GAP","ENSG00000076864"
"USP33","ENSG00000077254"
"CAPZB","ENSG00000077549"
"GNB1","ENSG00000078369"
"NRD1","ENSG00000078618"
"SDF4","ENSG00000078808"
"TP73","ENSG00000078900"
"MKNK1","ENSG00000079277"
"CDC14A","ENSG00000079335"
"PGM1","ENSG00000079739"
"CROCCP3","ENSG00000080947"
"RSBN1","ENSG00000081019"
"MAGI3","ENSG00000081026"
"HSPB11","ENSG00000081870"
"IL12RB2","ENSG00000081985"
"PLOD1","ENSG00000083444"
"SMAP2","ENSG00000084070"
"PPIE","ENSG00000084072"
"ZMPSTE24","ENSG00000084073"
"EIF3I","ENSG00000084623"
"COL16A1","ENSG00000084636"
"TXLNA","ENSG00000084652"
"WDR47","ENSG00000085433"
"OVGP1","ENSG00000085465"
"SLC25A24","ENSG00000085491"
"TTC39A","ENSG00000085831"
"EPS15","ENSG00000085832"
"ORC1","ENSG00000085840"
"POMGNT1","ENSG00000085998"
"RAD54L","ENSG00000085999"
"MAST2","ENSG00000086015"
"ALG6","ENSG00000088035"
"ASAP3","ENSG00000088280"
"SLC9A1","ENSG00000090020"
"NUDC","ENSG00000090273"
"MUL1","ENSG00000090432"
"PABPC4","ENSG00000090621"
"USP48","ENSG00000090686"
"TBX15","ENSG00000092607"
"PHGDH","ENSG00000092621"
"AGO1","ENSG00000092847"
"TEKT2","ENSG00000092850"
"CLSPN","ENSG00000092853"
"ACOT7","ENSG00000097021"
"SH3GLB1","ENSG00000097033"
"CDC7","ENSG00000097046"
"SYDE2","ENSG00000097096"
"DVL1","ENSG00000107404"
"BCL9","ENSG00000116128"
"DHCR24","ENSG00000116133"
"DNAJC16","ENSG00000116138"
"MORN1","ENSG00000116151"
"GPX7","ENSG00000116157"
"SCP2","ENSG00000116171"
"CEP104","ENSG00000116198"
"TCEANC2","ENSG00000116205"
"TMEM59","ENSG00000116209"
"LRRC42","ENSG00000116212"
"WRAP73","ENSG00000116213"
"MRPL37","ENSG00000116221"
"ICMT","ENSG00000116237"
"RPL22","ENSG00000116251"
"CHD5","ENSG00000116254"
"STXBP3","ENSG00000116266"
"PHF13","ENSG00000116273"
"ERRFI1","ENSG00000116285"
"PARK7","ENSG00000116288"
"KIAA1324","ENSG00000116299"
"AMPD2","ENSG00000116337"
"SRSF4","ENSG00000116350"
"MECR","ENSG00000116353"
"KCNC4","ENSG00000116396"
"WDR77","ENSG00000116455"
"ATP5F1","ENSG00000116459"
"RAP1A","ENSG00000116473"
"HDAC1","ENSG00000116478"
"CAPZA1","ENSG00000116489"
"S100PBP","ENSG00000116497"
"RNF19B","ENSG00000116514"
"TRIM62","ENSG00000116525"
"DLGAP3","ENSG00000116544"
"SFPQ","ENSG00000116560"
"DOCK7","ENSG00000116641"
"SRM","ENSG00000116649"
"DLEU2L","ENSG00000116652"
"FBXO2","ENSG00000116661"
"FBXO6","ENSG00000116663"
"MAD2L2","ENSG00000116670"
"DNAJC6","ENSG00000116675"
"LEPR","ENSG00000116678"
"KIAA2013","ENSG00000116685"
"MFN2","ENSG00000116688"
"MIIP","ENSG00000116691"
"SLC35D1","ENSG00000116704"
"GADD45A","ENSG00000116717"
"PRDM2","ENSG00000116731"
"AMPD1","ENSG00000116748"
"BCAS2","ENSG00000116752"
"SRSF11","ENSG00000116754"
"CTH","ENSG00000116761"
"AGMAT","ENSG00000116771"
"TNNI3K","ENSG00000116783"
"PLEKHM2","ENSG00000116786"
"CRYZ","ENSG00000116791"
"PHTF1","ENSG00000116793"
"ZBTB17","ENSG00000116809"
"CD58","ENSG00000116815"
"CD2","ENSG00000116824"
"TTF2","ENSG00000116830"
"ADPRHL2","ENSG00000116863"
"MAP7D1","ENSG00000116871"
"WARS2","ENSG00000116874"
"OSCP1","ENSG00000116885"
"MRPS15","ENSG00000116898"
"C1orf109","ENSG00000116922"
"RRAGC","ENSG00000116954"
"NT5C1A","ENSG00000116981"
"HPCAL4","ENSG00000116983"
"BMP8B","ENSG00000116985"
"MYCL","ENSG00000116990"
"RLF","ENSG00000117000"
"ZNF684","ENSG00000117010"
"KCNQ4","ENSG00000117013"
"RIMS3","ENSG00000117016"
"ACADM","ENSG00000117054"
"LPHN2","ENSG00000117114"
"PADI2","ENSG00000117115"
"SDHB","ENSG00000117118"
"RPF1","ENSG00000117133"
"CTBS","ENSG00000117151"
"SSX2IP","ENSG00000117155"
"ZNHIT6","ENSG00000117174"
"PLA2G2D","ENSG00000117215"
"GBP3","ENSG00000117226"
"GBP1","ENSG00000117228"
"PINK1-AS","ENSG00000117242"
"KIF17","ENSG00000117245"
"ECE1","ENSG00000117298"
"HMGCL","ENSG00000117305"
"GALE","ENSG00000117308"
"ID3","ENSG00000117318"
"LEPRE1","ENSG00000117385"
"SLC2A1","ENSG00000117394"
"EBNA1BP2","ENSG00000117395"
"CDC20","ENSG00000117399"
"ARTN","ENSG00000117407"
"IPO13","ENSG00000117408"
"ATP6V0B","ENSG00000117410"
"B4GALT2","ENSG00000117411"
"ERI3","ENSG00000117419"
"PTCH2","ENSG00000117425"
"AKR1A1","ENSG00000117448"
"PRDX1","ENSG00000117450"
"PIK3R3","ENSG00000117461"
"TSPAN1","ENSG00000117472"
"FAAH","ENSG00000117480"
"NSUN4","ENSG00000117481"
"TMED5","ENSG00000117500"
"DR1","ENSG00000117505"
"CNN3","ENSG00000117519"
"ABCD3","ENSG00000117528"
"DPH5","ENSG00000117543"
"PTBP2","ENSG00000117569"
"RCAN3","ENSG00000117602"
"SYF2","ENSG00000117614"
"C1orf63","ENSG00000117616"
"SLC35A3","ENSG00000117620"
"STMN1","ENSG00000117632"
"MTFR1L","ENSG00000117640"
"MAN1C1","ENSG00000117643"
"RPS6KA1","ENSG00000117676"
"DHDDS","ENSG00000117682"
"ARID1A","ENSG00000117713"
"RPA2","ENSG00000117748"
"PPP1R8","ENSG00000117751"
"STX12","ENSG00000117758"
"OSBPL9","ENSG00000117859"
